index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-10-0,vm4,0.0,51.90599999999904,51.904423,0.0
1,task-1-1,vm3,0.0,46.92199999999866,46.918457,0.0
2,task-10-2,vm4,0.0,45.78099999999904,45.77662,0.0
3,task-1-3,vm2,0.0,37.29699999999866,37.289895,0.0
4,task-10-4,vm3,0.008307,46.78099999999904,46.788186,0.0
5,task-1-5,vm1,0.008958,45.15599999999904,45.16897,0.0
6,task-1-6,vm2,0.008958,37.51499999999942,37.524847,0.0
7,task-10-7,vm4,0.009624,58.03099999999904,58.04016,0.0
9,task-10-9,vm4,0.009624,70.26499999999942,70.269603,0.0
11,task-10-11,vm3,0.010274,58.01499999999942,58.019516,0.0
16,task-10-16,vm4,0.010886,64.10900000000038,64.118281,0.0
17,task-10-17,vm4,0.010886,89.3279999999977,89.345113,0.0
19,task-10-19,vm3,0.011451,68.98400000000038,68.990046,0.0
22,task-10-22,vm4,0.011451,77.0,77.005941,0.0
23,task-10-23,vm4,0.011451,82.4529999999977,82.456655,0.0
8,task-1-8,vm2,37.289895,0.4690000000009604,37.755164,37.28099999999904
12,task-1-12,vm2,37.524847,0.4690000000009604,37.993366,37.51499999999942
13,task-10-13,vm2,37.765495,22.54699999999866,60.31371,37.75
27,task-10-27,vm2,37.993366,44.40599999999904,82.393366,37.98400000000038
10,task-1-10,vm1,45.16897,89.26599999999962,134.439377,45.15599999999904
29,task-10-29,vm4,45.77662,48.8279999999977,94.604281,45.76499999999942
25,task-10-25,vm3,46.788186,33.21900000000096,80.002767,46.78099999999904
14,task-1-14,vm1,134.439377,81.32800000000134,215.763244,134.42199999999866
15,task-1-15,vm1,215.763244,7.061999999998079,222.830168,215.75
18,task-1-18,vm1,222.830168,37.98500000000058,260.809131,222.81199999999808
20,task-1-20,vm1,260.809131,166.17099999999846,426.974168,260.79699999999866
21,task-1-21,vm1,426.974168,-1.0,727.074749,426.9679999999971
24,task-1-24,vm1,727.074749,149.21900000000096,876.295342,727.0619999999981
26,task-1-26,vm1,876.295342,94.01599999999962,970.307251,876.280999999999
28,task-10-28,vm1,970.307251,-1.0,1041.591878,970.2969999999987
