Percobaan Ke-,Total CPU Time,Total Wait Time,Average Start Time,Average Execution Time,Average Finish Time,Throughput,Makespan,Imbalance Degree,Resource Utilization,Total Tugas Selesai
1,1767.1065,1849.0039,63.7622,60.9347,124.6969,0.0865,335.0691,1.8574,35.1590%,29
2,2056.0600,4422.9200,152.5269,70.8986,223.4277,0.0233,1246.5160,1.4105,10.9963%,29
3,1585.2900,6258.5090,240.7168,60.9727,301.6871,0.0140,1851.8590,1.8899,5.7070%,26
4,1654.5280,2725.3560,97.3440,59.0903,156.4321,0.0269,1041.5940,1.2753,10.5897%,28
5,461.0340,25.9860,0.9035,15.8977,16.8005,0.5265,55.0780,2.3080,55.8038%,29
6,1797.9560,5659.2660,202.1256,64.2127,266.3361,0.0227,1235.8600,1.3847,9.6988%,28
7,694.7390,1548.4120,53.4073,23.9565,77.3640,0.1070,270.9530,1.1599,17.0937%,29
8,3022.5880,4000.9020,137.9703,104.2272,242.1978,0.0382,759.0780,1.2441,26.5461%,29
9,909.5510,1127.3800,38.8870,31.3638,70.2532,0.0813,356.6090,0.9487,17.0037%,29
10,500.5050,375.6870,12.9636,17.2588,30.2232,0.3367,86.1410,1.6841,38.7353%,29
