index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm4,0.0,64.625,64.625872,0.0
1,task-5-1,vm3,0.00686,42.14099999999962,42.161549,0.0
2,task-8-2,vm4,0.00686,84.57799999999952,84.596567,0.0
3,task-2-3,vm2,0.007859,16.35900000000038,16.378216,0.0
4,task-10-4,vm4,0.007859,90.73400000000038,90.749303,0.0
5,task-3-5,vm2,0.007859,19.09399999999914,19.100958,0.0
6,task-4-6,vm3,0.00886,50.84399999999914,50.859276,0.0
7,task-4-7,vm3,0.00886,49.26599999999962,49.277435,0.0
8,task-7-8,vm3,0.00886,47.5,47.518565,0.0
9,task-3-9,vm1,0.00886,42.15599999999904,42.16466,0.0
10,task-9-10,vm4,0.009861,69.64099999999962,69.657816,0.0
13,task-9-13,vm4,0.009861,80.64099999999962,80.660768,0.0
19,task-10-19,vm4,0.009861,75.60900000000038,75.617935,0.0
22,task-8-22,vm4,0.011083,100.82799999999952,100.841493,0.0
24,task-10-24,vm4,0.011083,96.96899999999914,96.98348,0.0
11,task-1-11,vm2,16.378216,31.76599999999962,48.14078,16.35900000000038
12,task-7-12,vm2,19.100958,62.42200000000048,81.521604,19.09399999999914
15,task-8-15,vm3,42.163658,113.84400000000096,156.019979,42.15599999999904
14,task-1-14,vm1,42.16466,103.9380000000001,146.115055,42.15599999999904
20,task-6-20,vm3,47.518565,112.76599999999962,160.277551,47.5
18,task-6-18,vm2,48.14078,92.01599999999962,140.147352,48.125
21,task-5-21,vm3,49.277435,114.82799999999952,164.1152,49.26599999999962
27,task-4-27,vm3,50.859276,114.85900000000038,165.712318,50.84399999999914
30,task-9-30,vm4,64.625872,181.73499999999876,246.35905,64.60900000000038
35,task-8-35,vm4,69.657816,180.84300000000076,250.498901,69.64099999999962
41,task-4-41,vm4,75.617935,175.78199999999924,251.408644,75.60900000000038
42,task-5-42,vm4,80.660768,172.23400000000038,252.883793,80.64099999999962
26,task-4-26,vm2,81.521604,62.70299999999952,144.236199,81.51599999999962
45,task-3-45,vm4,84.596567,168.89099999999962,253.479513,84.57799999999952
46,task-4-46,vm4,90.749303,185.0,275.740379,90.73400000000038
47,task-9-47,vm4,96.98348,181.625,278.60383,96.96899999999914
49,task-7-49,vm4,100.841493,180.67200000000048,281.513181,100.82799999999952
31,task-1-31,vm2,140.147352,99.0,239.161356,140.14099999999962
32,task-7-32,vm2,144.237195,150.90600000000086,295.131863,144.21899999999914
16,task-2-16,vm1,146.115055,99.0,245.114441,146.09399999999914
28,task-7-28,vm3,156.019979,109.01599999999962,265.025053,156.0
33,task-9-33,vm3,160.277551,114.65600000000086,274.933824,160.26599999999962
40,task-3-40,vm3,164.1152,110.84300000000076,274.944508,164.09399999999914
43,task-6-43,vm3,165.712318,113.25,278.965571,165.70299999999952
38,task-6-38,vm2,239.161356,108.82799999999952,347.976537,239.14099999999962
17,task-5-17,vm1,245.114441,192.82800000000134,437.937868,245.09399999999914
48,task-6-48,vm3,265.025053,95.15600000000086,360.185532,265.0159999999996
23,task-2-23,vm1,437.937868,41.375,479.313224,437.9220000000005
25,task-3-25,vm1,479.313224,14.718999999999141,494.033913,479.2970000000005
29,task-3-29,vm1,494.033913,85.01499999999942,579.042436,494.0159999999996
34,task-1-34,vm1,579.042436,59.78100000000086,638.824892,579.030999999999
36,task-2-36,vm1,638.824892,22.188000000000102,661.018417,638.8119999999999
37,task-5-37,vm1,661.019418,78.01599999999962,739.033466,661.0
39,task-2-39,vm1,739.034465,40.07799999999952,779.105795,739.0159999999996
44,task-1-44,vm1,779.105795,12.061999999999898,791.175346,779.0939999999991
