Percobaan Ke-,Total CPU Time,Total Wait Time,Average Start Time,Average Execution Time,Average Finish Time,Throughput,Makespan,Imbalance Degree,Resource Utilization,Total Tugas Selesai
1,2465.4907,4482.0087,89.6480,49.3098,138.9578,0.1486,336.5334,1.5725,48.8409%,50
2,1374.5600,3129.9270,62.6188,27.4912,90.1108,0.1598,312.9220,1.4470,29.2844%,50
3,1982.0120,3322.0160,66.4591,39.6402,106.1006,0.2287,218.6410,1.6095,60.4343%,50
4,3553.0660,7904.1990,158.0945,71.0613,229.1545,0.0463,1079.8430,0.7613,21.9357%,50
5,2990.7620,12048.4100,267.7615,66.4614,334.2227,0.0201,2234.7340,0.6532,8.9221%,45
6,3877.2600,9530.5330,190.6625,77.5452,268.2081,0.0490,1020.1560,0.8838,25.3377%,50
7,3779.0010,12585.1270,256.8535,77.1225,333.9757,0.0360,1361.4380,0.5019,18.5049%,49
8,4713.6260,7694.5810,153.9044,94.2725,248.1778,0.0632,791.1720,1.2282,39.7185%,50
9,2951.2300,5800.6610,116.0260,59.0246,175.0506,0.0960,520.6410,0.8792,37.7897%,50
10,2712.9980,5435.0900,108.7129,54.2600,162.9737,0.1224,408.4380,1.1426,44.2825%,50
