index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-10-0,vm3,0.0,46.78099999999904,46.788029,0.0
1,task-1-1,vm3,0.006189,34.64099999999962,34.650699,0.0
2,task-10-2,vm3,0.006189,58.875,58.871945,0.0
3,task-1-3,vm2,0.006189,76.26599999999962,76.269316,0.0
4,task-10-4,vm4,0.006189,39.10900000000038,39.117575,0.0
5,task-1-5,vm3,0.007918,59.0,59.010604,0.0
6,task-1-6,vm1,0.007918,-1.0,300.030545,0.0
7,task-10-7,vm4,0.007918,45.23400000000038,45.240751,0.0
8,task-1-8,vm2,0.008661,76.5,76.507726,0.0
10,task-1-10,vm4,0.009022,51.40599999999904,51.410127,0.0
11,task-10-11,vm4,0.009022,69.65599999999904,69.667316,0.0
17,task-10-17,vm4,0.009022,57.5,57.508469,0.0
19,task-10-19,vm4,0.009022,63.59400000000096,63.59219,0.0
22,task-10-22,vm4,0.010735,51.31199999999808,51.321285,0.0
25,task-10-25,vm4,0.010735,75.89099999999962,75.895371,0.0
9,task-10-9,vm3,34.650699,35.59300000000076,70.245617,34.64099999999962
28,task-10-28,vm4,39.125793,45.79699999999866,84.928533,39.125
29,task-10-29,vm4,45.240751,45.78199999999924,91.012096,45.23400000000038
20,task-1-20,vm3,46.788029,23.610000000000582,70.392999,46.78099999999904
24,task-1-24,vm3,58.871945,11.640999999999622,70.52402,58.875
27,task-10-27,vm3,59.010604,22.71900000000096,81.725628,59.0
13,task-10-13,vm2,76.270725,76.18700000000172,152.450493,76.26599999999962
15,task-1-15,vm2,76.507726,76.18699999999808,152.691966,76.5
16,task-10-16,vm2,152.450493,78.51599999999962,230.979419,152.45300000000134
26,task-1-26,vm2,152.691966,78.53200000000288,231.224079,152.68699999999808
12,task-1-12,vm1,300.030545,-1.0,600.036691,300.03099999999904
14,task-1-14,vm1,600.036691,-1.0,900.042155,600.030999999999
18,task-1-18,vm1,900.042155,57.0470000000023,957.076265,900.030999999999
21,task-1-21,vm1,957.076265,102.01599999999962,1059.090159,957.0780000000013
23,task-10-23,vm1,1059.090159,-1.0,1128.697611,1059.094000000001
