Percobaan Ke-,Total CPU Time,Total Wait Time,Average Start Time,Average Execution Time,Average Finish Time,Throughput,Makespan,Imbalance Degree,Resource Utilization,Total Tugas Selesai
1,1572.2643,817.0555,28.1780,54.2160,82.3940,0.1539,188.4391,2.0638,55.6241%,29
2,1677.7050,1046.8780,36.1096,57.8519,93.9616,0.1458,198.8900,1.3241,56.2356%,29
3,1284.1530,3613.9260,124.6363,44.2811,168.9189,0.0343,846.5470,1.7513,10.1129%,29
4,1459.3920,2598.6710,99.9552,56.1305,156.0843,0.0230,1128.6870,1.0586,8.6200%,26
5,1130.1950,3355.1170,115.6970,38.9722,154.6699,0.0310,935.9530,2.0058,8.0502%,29
6,829.2660,182.6110,6.3098,28.5954,34.9074,0.0733,395.6870,0.7530,13.9718%,29
7,743.6770,329.7250,11.3801,25.6440,37.0267,0.1394,207.9680,1.4054,23.8395%,29
8,1913.2020,2865.1220,102.3413,68.3286,170.6669,0.0366,764.1410,0.7089,16.6915%,28
9,963.7160,853.1520,29.4258,33.2316,62.6572,0.0711,407.6720,0.8729,15.7597%,29
10,845.0610,366.6690,12.6584,29.1400,41.7983,0.1109,261.4850,0.7934,21.5452%,29
