Percobaan Ke-,Total CPU Time,Total Wait Time,Average Start Time,Average Execution Time,Average Finish Time,Throughput,Makespan,Imbalance Degree,Resource Utilization,Total Tugas Selesai
1,2692.2805,3039.5357,62.0352,54.9445,116.9797,0.1606,305.0637,1.8197,58.8354%,49
2,1119.7020,1428.0130,28.5752,22.3940,50.9679,0.1754,285.0160,1.4350,26.1904%,50
3,1994.8020,2278.9530,46.5220,40.7102,87.2311,0.2980,164.4370,2.0271,80.8740%,49
4,2933.8730,3423.4110,68.4848,58.6775,127.1623,0.0959,521.1720,1.3332,37.5292%,50
5,3265.9080,6688.6090,145.4208,70.9980,216.4195,0.0288,1595.0000,1.2995,13.6506%,46
6,3871.4870,6999.0860,142.8528,79.0099,221.8640,0.0511,959.3120,1.7948,26.9046%,49
7,3434.0120,7176.2500,146.4666,70.0819,216.5488,0.0589,832.1090,1.1518,27.5125%,49
8,4064.8900,8475.4900,169.5228,81.2978,250.8208,0.0613,815.5310,1.7140,33.2290%,50
9,3060.3230,3790.9250,75.8251,61.2065,137.0301,0.1109,450.7650,1.4634,45.2612%,50
10,2703.7090,3483.7500,69.6859,54.0742,123.7602,0.1700,294.1250,1.5317,61.2825%,50
