Percobaan Ke-,Total CPU Time,Total Wait Time,Average Start Time,Average Execution Time,Average Finish Time,Throughput,Makespan,Imbalance Degree,Resource Utilization,Total Tugas Selesai
1,1537.3796,32405.3805,129.6263,6.1495,135.7758,0.4526,552.3418,1.0966,18.5559%,250
2,1856.7138,15753.7694,63.0196,7.4269,70.4464,1.4464,172.8407,1.9983,71.6156%,250
3,1915.0548,18073.0981,72.2972,7.6602,79.9574,1.1864,210.7295,1.6378,60.5849%,250
4,2056.4026,22824.3762,91.3021,8.2256,99.5277,0.7210,346.7429,1.3928,39.5375%,250
5,2065.3166,26516.1078,106.0691,8.2613,114.3303,0.6649,375.9766,1.8574,36.6214%,250
6,2609.5268,41151.0577,164.6090,10.4381,175.0471,0.3396,736.1319,1.4253,23.6328%,250
7,2310.4955,47825.2061,191.3059,9.2420,200.5479,0.3815,655.3152,1.1406,23.5052%,250
8,4182.2077,156915.0040,635.2885,16.9320,652.2205,0.0802,3081.5966,1.7406,9.0477%,247
9,2081.6039,24261.6833,97.0514,8.3264,105.3778,1.0100,247.5328,1.4462,56.0627%,250
10,1655.9096,15856.5432,63.4307,6.6236,70.0544,1.5755,158.6761,1.7296,69.5719%,250
