index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-10-0,vm1,0.0,-1.0,300.032921,0.0
1,task-1-1,vm2,0.009876,73.57800000000134,73.588124,0.0
2,task-10-2,vm3,0.009876,69.4220000000023,69.42438,0.0
3,task-1-3,vm4,0.009876,81.70300000000134,81.712396,0.0
5,task-1-5,vm2,0.013882,73.82800000000134,73.830616,0.0
6,task-1-6,vm3,0.014209,69.53099999999904,69.545633,0.0
7,task-10-7,vm4,0.014209,81.61000000000058,81.622626,0.0
10,task-1-10,vm3,0.014737,69.68800000000192,69.692855,0.0
11,task-10-11,vm4,0.015143,87.84400000000096,87.847096,0.0
14,task-1-14,vm3,0.015587,69.81300000000192,69.823155,0.0
15,task-1-15,vm4,0.015587,81.78099999999904,81.79634,0.0
19,task-10-19,vm4,0.015587,94.96900000000096,94.98171,0.0
23,task-10-23,vm4,0.015587,101.06300000000192,101.068183,0.0
27,task-10-27,vm4,0.015587,107.1720000000023,107.183182,0.0
18,task-1-18,vm3,69.42438,65.51599999999962,134.944159,69.4220000000023
22,task-10-22,vm3,69.553343,76.35899999999674,145.91366,69.53099999999904
26,task-1-26,vm3,69.692855,76.34299999999712,146.040516,69.68800000000192
9,task-10-9,vm2,73.588124,93.5,167.091355,73.57800000000134
13,task-10-13,vm2,73.830616,115.92199999999866,189.761663,73.82800000000134
17,task-10-17,vm2,167.091355,69.46900000000096,236.557028,167.07800000000134
21,task-1-21,vm2,189.761663,47.01599999999962,236.774824,189.75
25,task-10-25,vm2,236.557028,80.48399999999674,317.04082,236.5470000000023
29,task-10-29,vm2,236.774824,101.34400000000096,338.113765,236.76599999999962
4,task-10-4,vm1,300.032921,-1.0,600.130698,300.03099999999904
8,task-1-8,vm1,600.130698,-1.0,900.136954,600.125
12,task-1-12,vm1,900.136954,188.07800000000134,1088.206976,900.125
16,task-10-16,vm1,1088.206976,-1.0,1143.839995,1088.2030000000013
20,task-1-20,vm1,1143.839995,82.76599999999962,1226.601383,1143.8280000000013
24,task-1-24,vm1,1226.601383,195.35900000000038,1421.959722,1226.594000000001
28,task-10-28,vm1,1421.959722,-1.0,1721.971904,1421.9530000000013
