Percobaan Ke-,Total CPU Time,Total Wait Time,Average Start Time,Average Execution Time,Average Finish Time,Throughput,Makespan,Imbalance Degree,Resource Utilization,Total Tugas Selesai
1,1712.2426,1477.6500,56.8338,65.8555,122.6892,0.0987,263.3719,1.7532,43.3416%,26
2,1674.5800,3128.9700,120.3513,64.4069,184.7582,0.0277,938.8130,0.3670,11.8915%,26
3,2254.1580,4456.7350,178.2714,90.1663,268.4350,0.0145,1721.9840,0.3353,8.7270%,25
4,653.2600,2070.3230,79.6272,25.1254,104.7507,0.0379,686.1870,1.0732,6.3468%,26
5,1004.6680,2540.9040,101.6476,40.1867,141.8361,0.0251,995.7810,1.0294,6.7262%,25
6,708.0560,1569.3700,60.3596,27.2329,87.5901,0.0510,509.6400,1.0817,9.2622%,26
7,3109.2040,3219.4220,123.8348,119.5848,243.4188,0.0407,639.0320,1.0803,32.4366%,26
8,442.2140,670.3380,25.7840,17.0082,42.7909,0.1281,203.0000,1.1693,14.5226%,26
9,441.1890,818.1750,31.4719,16.9688,48.4383,0.1129,230.2820,1.0980,12.7724%,26
10,764.0030,1251.9410,48.1526,29.3847,77.5351,0.0637,408.4210,1.7885,12.4708%,26
