index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm1,0.0,-1.0,178.350391,0.0
1,task-5-1,vm2,0.008952,63.21900000000096,63.226722,0.0
2,task-8-2,vm3,0.008952,58.375,58.391882,0.0
3,task-2-3,vm4,0.009951,30.89099999999962,30.907606,0.0
5,task-3-5,vm2,0.009951,64.98400000000038,64.987957,0.0
6,task-4-6,vm3,0.011269,60.20299999999952,60.208905,0.0
7,task-4-7,vm4,0.011269,27.39099999999962,27.405169,0.0
10,task-9-10,vm3,0.012391,51.1880000000001,51.197393,0.0
11,task-1-11,vm4,0.012391,27.5,27.516852,0.0
14,task-1-14,vm3,0.013645,60.34400000000096,60.359835,0.0
15,task-8-15,vm4,0.013645,30.53100000000086,30.539078,0.0
19,task-10-19,vm4,0.013645,39.5,39.50811,0.0
23,task-2-23,vm4,0.013645,32.1880000000001,32.195164,0.0
27,task-4-27,vm4,0.014815,31.90600000000086,31.921392,0.0
31,task-1-31,vm4,0.014815,30.625,30.637151,0.0
35,task-8-35,vm4,27.405169,85.64000000000124,113.044281,27.39099999999962
39,task-2-39,vm4,27.518001,85.8119999999999,113.33976,27.51599999999962
43,task-6-43,vm4,30.539078,85.09399999999914,115.63156,30.53100000000086
47,task-9-47,vm4,30.637151,89.9380000000001,120.570587,30.625
18,task-6-18,vm3,51.198837,35.23400000000038,86.434423,51.1880000000001
22,task-8-22,vm3,58.392874,35.01500000000124,93.412929,58.375
26,task-4-26,vm3,60.208905,34.96900000000096,95.174833,60.20299999999952
30,task-9-30,vm3,60.359835,43.98399999999856,104.337909,60.34400000000096
9,task-3-9,vm2,63.226722,132.46899999999914,195.698585,63.21900000000096
13,task-9-13,vm2,64.987957,148.54700000000048,213.544645,64.98400000000038
34,task-1-34,vm3,86.434423,82.60900000000038,169.03768,86.42200000000048
38,task-6-38,vm3,93.413926,79.57799999999952,172.991055,93.40600000000086
42,task-5-42,vm3,95.174833,80.84399999999914,176.022382,95.17200000000048
46,task-4-46,vm3,104.337909,73.1880000000001,177.518105,104.32799999999952
4,task-10-4,vm1,178.350391,-1.0,478.385522,178.34400000000096
17,task-5-17,vm2,195.699585,110.17100000000028,305.875113,195.6880000000001
21,task-5-21,vm2,213.544645,97.65699999999924,311.196138,213.53100000000086
25,task-3-25,vm2,305.875113,26.67200000000048,332.541575,305.8590000000004
29,task-3-29,vm2,311.196644,23.296000000000276,334.49672,311.1880000000001
33,task-9-33,vm2,332.542576,47.20299999999952,379.738219,332.53100000000086
37,task-5-37,vm2,334.498067,50.3130000000001,384.802856,334.4840000000004
41,task-4-41,vm2,379.739218,24.781999999999243,404.522226,379.7340000000004
45,task-3-45,vm2,384.802856,21.561999999999898,406.374857,384.7970000000005
49,task-7-49,vm2,404.523223,12.156000000000859,416.677469,404.5159999999996
8,task-7-8,vm1,478.385522,182.73400000000038,661.124836,478.375
12,task-7-12,vm1,661.124836,94.82899999999972,755.940755,661.1090000000004
16,task-2-16,vm1,755.940755,62.8119999999999,818.75219,755.9380000000001
20,task-6-20,vm1,818.75219,33.82799999999952,852.595622,818.75
24,task-10-24,vm1,852.595622,-1.0,957.146204,852.5779999999995
28,task-7-28,vm1,957.146204,100.09300000000076,1057.247487,957.1409999999996
32,task-7-32,vm1,1057.248485,101.65699999999924,1158.896576,1057.2340000000004
36,task-2-36,vm1,1158.896576,67.82800000000134,1226.735542,1158.8909999999996
40,task-3-40,vm1,1226.735542,58.65599999999904,1285.387565,1226.719000000001
44,task-1-44,vm1,1285.388557,98.42200000000048,1383.807405,1285.375
48,task-6-48,vm1,1383.807405,30.875,1414.683755,1383.7970000000005
