Percobaan Ke-,Total CPU Time,Total Wait Time,Average Start Time,Average Execution Time,Average Finish Time,Throughput,Makespan,Imbalance Degree,Resource Utilization,Total Tugas Selesai
1,492.7564,10494.7551,249.8765,11.7323,261.6087,0.0210,2004.0696,1.1242,1.6392%,42
2,804.1529,2397.2043,52.1168,17.4816,69.5983,0.1222,376.5449,0.4442,14.2374%,46
3,869.7370,3379.0560,70.4115,18.1195,88.5304,0.1059,453.2650,1.2411,12.7922%,48
4,1927.8170,5142.3890,114.2883,42.8404,157.1270,0.0402,1120.6870,0.5789,11.4681%,45
5,3658.2090,14843.3880,337.3562,83.1411,420.4981,0.0188,2344.5470,0.3743,10.4020%,44
6,3610.7950,12012.6580,255.5981,76.8254,332.4234,0.0455,1032.1880,1.1122,23.3213%,47
7,2947.3120,13499.3610,287.2220,62.7088,349.9306,0.0332,1414.6880,0.3186,13.8891%,47
8,4397.9220,9802.0830,208.5650,93.5728,302.1379,0.0584,805.4060,1.0661,36.4034%,47
9,2903.8420,7377.9270,153.7193,60.4967,214.2172,0.0905,530.3440,1.0290,36.5026%,48
10,1270.7470,4486.3500,93.4785,26.4739,119.9531,0.1112,431.6880,0.9880,19.6245%,48
