index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-1-0,vm1,0.0,0.8916677990000608,0.891649,4.924000677419826e-06
1,task-1-1,vm2,0.002436,2.5000127229995996,2.50244,2.441998731228523e-06
2,task-1-2,vm3,0.002597,6.485198878999654,6.487781,1.751001036609523e-06
3,task-1-3,vm4,0.002725,34.58339356600118,34.586113,1.501000951975584e-06
5,task-1-5,vm2,0.00286,2.862365012000737,2.865209,1.4789984561502934e-06
6,task-1-6,vm3,0.002968,6.601865455999359,6.60482,1.3839999155607074e-06
7,task-10-7,vm4,0.003136,33.218405637000615,33.221529,3.3310006983811036e-06
10,task-1-10,vm3,0.003261,6.4847594530001516,6.488018,1.297999915550463e-06
11,task-1-11,vm4,0.003413,34.48525359999985,34.488656,1.2799991964129731e-06
14,task-1-14,vm3,0.00352,6.75440614999934,6.757916,1.2700002116616815e-06
15,task-1-15,vm4,0.003617,34.64792319099979,34.651525,1.2939999578520656e-06
19,task-1-19,vm4,0.003715,34.44908118499916,34.452782,1.0109997674589977e-06
23,task-1-23,vm4,0.003811,27.122494328001267,27.126291,9.390005288878456e-07
27,task-4-27,vm4,0.003913,34.335067792999325,34.338963,8.560000424040481e-07
31,task-1-31,vm4,0.004007,33.33847168199827,33.342468,1.0879994079004973e-06
4,task-1-4,vm1,0.891784,1.3647688500004733,2.256532,0.8889338849985506
8,task-1-8,vm1,2.256677,1.5229145110006357,3.779573,2.253414224998778
9,task-1-9,vm2,2.502495,1.3192843450015062,3.821766,2.499238656999296
13,task-1-13,vm2,2.865375,23.78862248599944,26.653979,2.8618334410002717
12,task-1-12,vm1,3.779708,1.6985066870001901,5.478201,3.7761827209997136
17,task-1-17,vm2,3.821986,23.757979916001204,27.579948,3.818265416999566
16,task-1-16,vm1,5.478289,1.9288670570003887,7.407135,5.474579236000864
18,task-1-18,vm3,6.488072,15.508922646000428,21.996978,6.4843571040000825
22,task-1-22,vm3,6.488608,15.269944576999478,21.758533,6.484789727999669
26,task-8-26,vm3,6.604944,22.27905501100031,28.883984,6.601026448999619
30,task-1-30,vm3,6.758008,22.250178276999577,29.008166,6.753997046000222
20,task-1-20,vm1,7.407292,29.524472975001117,36.931747,7.403474123999331
34,task-6-34,vm3,21.758672,15.387551455998619,37.146207,21.754565781000565
38,task-1-38,vm3,21.997355,15.28527797300012,37.28262,21.993238144001225
21,task-1-21,vm2,26.654109,1.868124265998631,28.522215,26.650296885998614
35,task-1-35,vm4,27.126419,17.96003672200095,45.086436,27.122312809000505
25,task-1-25,vm2,27.580083,1.8743319479999627,29.454399,27.576164920999872
29,task-1-29,vm2,28.522352,1.8731492280003295,30.395485,28.51833958899988
42,task-1-42,vm3,28.884098,8.539863735999461,37.423946,28.879979744000593
46,task-1-46,vm3,29.008326,8.536914876000083,37.545225,29.00419417199919
33,task-1-33,vm2,29.45452,19.9741916160001,49.428694,29.45042089099843
37,task-1-37,vm2,30.395609,19.741349627998716,50.136949,30.391498113000125
39,task-1-39,vm4,33.22163,11.868009420000817,45.089635,33.21751831800066
43,task-1-43,vm4,33.34255,11.747200104000513,45.089747,33.33843239599992
47,task-5-47,vm4,34.339096,12.175522120000096,46.514603,34.33496880799976
51,task-1-51,vm4,34.45292,12.062478791000103,46.515394,34.448250851999546
55,task-1-55,vm4,34.488741,12.026758255999084,46.515497,34.484068571000535
59,task-1-59,vm4,34.586157,12.288194063999981,46.874334,34.581485435001014
63,task-1-63,vm4,34.651635,12.40765374700095,47.059282,34.646952336999675
24,task-1-24,vm1,36.9319,2.0192381119995844,38.951119,36.92798520299948
50,task-1-50,vm3,37.146337,3.603566371000852,40.749891,37.142199185998834
54,task-1-54,vm3,37.282738,3.4688522719989123,40.751585,37.27806971999962
58,task-1-58,vm3,37.424079,3.3275952819985832,40.751672,37.41939589100002
62,task-1-62,vm3,37.545349,3.206777700999737,40.752125,37.54066720300034
28,task-1-28,vm1,38.951248,3.3636606150012085,42.314889,38.94724100399981
66,task-1-66,vm3,40.750988,7.62397787000009,48.374958,40.74628537799981
70,task-1-70,vm3,40.751805,7.457945039999686,48.209736,40.74711676900006
74,task-1-74,vm3,40.751966,7.710222363999492,48.462176,40.7472699580012
78,task-2-78,vm3,40.752345,8.174456787000963,48.926788,40.74764360500012
32,task-1-32,vm1,42.315027,2.7736490860006597,45.088672,42.31092594199981
67,task-2-67,vm4,45.088041,20.656996390998756,65.745019,45.08333376200062
36,task-5-36,vm1,45.089119,12.644044236998525,57.733155,45.084998469999846
71,task-1-71,vm4,45.090239,20.896192407000854,65.986417,45.08553804500116
75,task-1-75,vm4,45.090638,20.778751776999343,65.869376,45.08593239300171
79,task-1-79,vm4,46.514821,19.645925145001456,66.160727,46.51011010000002
83,task-1-83,vm4,46.515724,20.30183995400148,66.81755,46.51100966600097
87,task-1-87,vm4,46.516081,20.221931976999258,66.737996,46.51136164499985
91,task-3-91,vm4,46.874464,19.75978324800053,66.634229,46.869736099000875
95,task-2-95,vm4,47.05933,20.0893520059999,67.148668,47.054605584000456
82,task-1-82,vm3,48.209847,4.79231853499914,53.002159,48.20513386899984
