Percobaan Ke-,Total CPU Time,Total Wait Time,Average Start Time,Average Execution Time,Average Finish Time,Throughput,Makespan,Imbalance Degree,Resource Utilization,Total Tugas Selesai
1,4324.5806,48005.6988,193.5762,17.4378,211.0140,0.4556,544.3887,1.6079,52.9595%,248
2,531.6687,6379.8088,25.6262,2.1352,27.7614,2.6693,93.2839,1.3841,37.9964%,249
3,1448.8488,16163.0539,64.9165,5.8187,70.7351,1.5475,160.9046,1.6128,60.0293%,249
4,1816.8947,20746.8344,83.3252,7.2968,90.6220,1.0404,239.3303,1.2820,50.6105%,249
5,2015.3116,28481.1655,114.3868,8.0936,122.4804,0.6432,387.1014,1.0665,34.7077%,249
6,2136.1452,28541.6581,114.6299,8.5789,123.2087,0.6193,402.0983,1.3401,35.4166%,249
7,2580.7116,38481.7317,154.5496,10.3643,164.9139,0.3422,727.6275,1.1482,23.6450%,249
8,2316.9571,41973.1178,168.5713,9.3050,177.8763,0.3882,641.4684,0.8574,24.0797%,249
9,3698.2853,174885.6455,713.8215,15.0950,728.9165,0.0791,3098.4758,1.4718,7.9572%,245
10,2024.1401,24102.3092,96.8010,8.1291,104.9301,1.0628,234.2907,1.4185,57.5963%,249
