Percobaan Ke-,Total CPU Time,Total Wait Time,Average Start Time,Average Execution Time,Average Finish Time,Throughput,Makespan,Imbalance Degree,Resource Utilization,Total Tugas Selesai
1,635.6086,362.5718,12.9525,22.7003,35.6528,0.2177,128.5995,1.1849,32.9503%,28
2,2140.4960,2257.8380,77.8754,73.8102,151.6869,0.0368,787.1090,0.9742,18.1296%,29
3,618.3280,181.8930,6.7496,22.9010,29.6526,0.0310,869.6560,1.1694,4.7400%,27
4,821.3930,650.6740,23.2787,29.3355,52.6142,0.0330,849.5000,1.1234,6.4461%,28
5,1131.7290,1538.9010,53.0739,39.0251,92.1001,0.0525,551.8910,1.3102,13.6709%,29
6,2225.0890,2051.8990,76.0066,82.4107,158.4193,0.0421,640.8750,0.5764,23.1464%,27
7,987.1590,498.8620,18.4857,36.5614,55.0491,0.0394,684.9220,0.5299,9.6085%,27
8,738.4000,926.5550,31.9596,25.4621,57.4223,0.0756,383.3750,1.1002,12.8403%,29
9,486.4450,188.5220,6.5137,16.7740,23.2841,0.2830,102.4690,1.2449,31.6483%,29
10,3476.0850,2307.2440,79.5629,119.8650,199.4264,0.0935,310.0930,1.8826,74.7321%,29
