Percobaan Ke-,Total CPU Time,Total Wait Time,Average Start Time,Average Execution Time,Average Finish Time,Throughput,Makespan,Imbalance Degree,Resource Utilization,Total Tugas Selesai
1,2647.8795,2678.8122,54.6734,54.0384,108.7117,0.2007,244.1037,2.2110,72.3157%,49
2,1017.7770,1669.5580,33.4116,20.3555,53.7660,0.1584,315.7340,1.0432,21.4902%,50
3,1853.2350,1468.2670,29.9763,37.8211,67.7973,0.2728,179.5940,2.5914,68.7935%,49
4,2659.7520,3366.5230,67.3418,53.1950,120.5371,0.1700,294.0620,1.3572,60.2991%,50
5,3563.5990,6969.4930,148.2988,75.8213,224.1196,0.0372,1262.5310,1.5157,18.8172%,47
6,4137.5380,6393.0560,130.4846,84.4396,214.9250,0.0620,789.9220,1.4531,34.9194%,49
7,3401.3360,10641.5620,221.7030,70.8612,292.5641,0.0372,1288.9690,0.9347,17.5920%,48
8,5092.4030,5983.7540,122.1239,103.9266,226.0501,0.1015,482.8750,1.7774,70.3067%,49
9,3086.5450,5835.4010,116.7225,61.7309,178.4540,0.1040,480.8600,1.2022,42.7920%,50
10,2526.2820,2974.1770,60.7080,51.5568,112.2640,0.1884,260.1250,1.7434,64.7453%,49
