index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-1-0,vm1,0.0,1.0499110860000656,1.049896,4.459001502254978e-06
1,task-1-1,vm4,0.002373,22.05498301999978,22.057341,2.6050001906696707e-06
2,task-1-2,vm3,0.002554,3.423754329996882,3.426301,1.89200000022538e-06
3,task-1-3,vm2,0.002694,1.0474039649998304,1.050094,1.7079983081202954e-06
4,task-1-4,vm4,0.002823,22.054751039999246,22.057571,1.762997271725908e-06
5,task-1-5,vm4,0.002933,22.054760842998803,22.057691,1.500997313996777e-06
6,task-1-6,vm3,0.003096,3.836865585999476,3.839951,1.7389975255355239e-06
7,task-10-7,vm3,0.003221,14.769931573002395,14.773131,3.340999683132395e-06
8,task-1-8,vm3,0.003378,3.809981587997754,3.813341,1.3799981388729066e-06
10,task-1-10,vm4,0.003491,22.136955578000197,22.140436,1.390999386785552e-06
13,task-1-13,vm4,0.00359,22.224825068999053,22.228388,9.930008673109114e-07
15,task-1-15,vm4,0.003683,22.29553437499999,22.299211,1.148000592365861e-06
16,task-1-16,vm2,0.003777,1.222593999998935,1.226364,1.2410018825903535e-06
21,task-1-21,vm4,0.003879,22.063939390001906,22.067804,1.2220007192809135e-06
22,task-1-22,vm4,0.003971,22.402228246002778,22.40618,1.0879994079004973e-06
9,task-1-9,vm1,1.050156,1.2887310520018218,2.338872,1.0466669380002713
19,task-1-19,vm2,1.050706,4.664854609000031,5.715541,1.04682194599809
23,task-1-23,vm2,1.226416,4.834607464999863,6.061005,1.2223583330014662
37,task-1-37,vm1,2.338996,1.5017375300012645,3.840728,2.3349033380000037
11,task-1-11,vm3,3.426345,29.828221214000223,33.25455,3.4227614890005498
12,task-1-12,vm3,3.813494,29.56907832199795,33.382551,3.8098958720001974
14,task-1-14,vm3,3.840128,29.676248949999717,33.516356,3.8364385470013076
43,task-1-43,vm1,3.840985,1.2065991060007946,5.047568,3.8368843799980823
54,task-1-54,vm1,5.047684,1.36766906900084,6.415337,5.042993234001187
26,task-8-26,vm2,5.715668,15.44375154500085,21.159382,5.711590856000839
34,task-6-34,vm2,6.061134,23.104332422997686,29.165449,6.05704882200007
55,task-1-55,vm1,6.415454,1.4110373609983071,7.826479,6.410762487001193
56,task-9-56,vm1,7.826556,-1.0,39.20756,7.821866498001327
17,task-1-17,vm3,14.773274,18.86928297399936,33.642546,14.769397372998355
39,task-1-39,vm2,21.159544,9.174330661000567,30.333858,21.155439783000475
25,task-1-25,vm4,22.057747,6.621145701999922,28.678873,22.05367678699986
27,task-4-27,vm4,22.058324,7.952686799999356,30.010993,22.05424465899705
28,task-1-28,vm4,22.058793,8.02133832799882,30.08012,22.054710322001483
36,task-5-36,vm4,22.067995,9.710047283999302,31.778025,22.0639015500019
40,task-1-40,vm4,22.140513,9.664147620998847,31.804643,22.136418393001804
42,task-1-42,vm4,22.228484,9.577483820001362,31.805957,22.224388219998218
44,task-1-44,vm4,22.299252,9.608131660999788,31.907365,22.29515837999861
47,task-5-47,vm4,22.406308,11.080811929001356,33.487102,22.402197586998227
48,task-1-48,vm4,28.679008,19.424590217000514,48.103578,28.674895071999345
46,task-1-46,vm2,29.165595,1.369753937000496,30.53533,29.161480880000454
50,task-1-50,vm4,30.011114,18.22804254499715,48.239139,30.006433732000005
60,task-1-60,vm4,30.080205,18.259742109999934,48.339934,30.075505988999794
57,task-1-57,vm2,30.333964,6.844394932999421,37.178338,30.329268577999756
63,task-1-63,vm2,30.535479,6.717616870999336,37.253081,30.530772342997807
61,task-1-61,vm4,31.778179,16.646391468999354,48.424553,31.773479223000322
73,task-2-73,vm4,31.804915,16.890072649999638,48.694971,31.80019117300253
77,task-7-77,vm4,31.806525,19.914462090997404,51.720965,31.801779546000034
81,task-1-81,vm4,31.907513,19.89214520599853,51.799641,31.902777065999544
18,task-1-18,vm3,33.254655,1.5535477529992932,34.808189,33.25078101899999
20,task-1-20,vm3,33.382692,1.5615909150001244,34.944271,33.37880713400227
82,task-1-82,vm4,33.487332,18.394235829000536,51.88155,33.4825881029974
24,task-1-24,vm3,33.516964,1.5445403459998488,35.06149,33.512872710998636
29,task-1-29,vm3,33.64262,1.5470606570015661,35.189667,33.638544818997616
30,task-1-30,vm3,34.808282,12.520230647998687,47.328497,34.8042052339988
31,task-1-31,vm3,34.94434,12.52240130700011,47.466729,34.94026390900035
32,task-1-32,vm3,35.06157,12.51847491800072,47.580026,35.05748902199775
33,task-1-33,vm3,35.189757,12.513520076998248,47.703261,35.18567657099993
64,task-1-64,vm2,37.17849,1.2656659679996665,38.444143,37.1737794690016
67,task-2-67,vm2,37.253164,2.1939235089994327,39.447076,37.248458014997595
68,task-1-68,vm2,38.444225,2.1134008890003315,40.55761,38.43951453099726
65,task-1-65,vm1,39.20763,41.46529925399955,80.672916,39.20291241800078
69,task-1-69,vm2,39.447159,1.3419728150001902,40.789114,39.44244840999818
70,task-1-70,vm2,40.557722,1.4688513749970298,42.02656,40.553008662998764
74,task-1-74,vm2,40.789243,1.4577046090016665,42.24693,40.78451882299851
75,task-1-75,vm2,42.026649,1.4642215620006027,43.490853,42.0219273540024
76,task-1-76,vm2,42.247046,1.5801374340007897,43.827168,42.24231815999883
79,task-1-79,vm2,43.490976,2.0840043789976335,45.574967,43.48624428599942
80,task-1-80,vm2,43.827273,1.9852953199988406,45.81255,43.822540776000096
84,task-1-84,vm2,45.575049,2.1124553800000285,47.687484,45.57031435599856
90,task-1-90,vm2,45.812668,2.1143824860009772,47.927035,45.807918145997974
35,task-1-35,vm3,47.328616,8.665966542001115,55.994566,47.32453056700251
38,task-1-38,vm3,47.46685,8.59230758099875,56.059142,47.4627526990007
41,task-1-41,vm3,47.580161,8.601520870997774,56.181664,47.576059361999796
101,task-1-101,vm2,47.68763,1.4337334709998686,49.121346,47.68286125599843
45,task-1-45,vm3,47.703382,8.601167698001518,56.304531,47.69927544000166
105,task-1-105,vm2,47.927163,1.4695681829980458,49.396709,47.92238721100148
88,task-1-88,vm4,48.103711,13.68873935100055,61.792439,48.098962731997744
92,task-1-92,vm4,48.239263,13.684990495003149,61.924236,48.23451290999947
93,task-1-93,vm4,48.340038,13.59084815100141,61.930877,48.33528409800056
94,task-4-94,vm4,48.424688,14.498721015999763,62.923375,48.4199310719996
95,task-2-95,vm4,48.695081,14.606796193998889,63.301858,48.690327520998835
106,task-1-106,vm2,49.121499,3.2747774609997577,52.396259,49.11672474599982
112,task-1-112,vm2,49.39686,3.2684596680010145,52.665298,49.392072962000384
