Percobaan Ke-,Total CPU Time,Total Wait Time,Average Start Time,Average Execution Time,Average Finish Time,Throughput,Makespan,Imbalance Degree,Resource Utilization,Total Tugas Selesai
1,1169.0507,8960.7129,35.8476,4.6762,40.5238,1.3027,191.9115,0.6178,40.6108%,250
2,1847.1863,15756.3692,63.0302,7.3887,70.4189,1.9333,129.3139,2.0424,95.2301%,250
3,1720.8045,20710.4781,83.1793,6.9109,90.0902,1.0637,234.0822,1.2592,49.0085%,249
4,2012.3059,20134.7142,80.8672,8.0815,88.9487,1.0120,246.0418,1.4154,54.5248%,249
5,2086.6128,19689.2707,79.0780,8.3800,87.4580,0.9804,253.9682,1.6493,54.7736%,249
6,2245.2598,22449.5888,89.8030,8.9810,98.7840,0.9517,262.6805,1.4697,56.9833%,250
7,2381.3542,30666.8650,122.6722,9.5254,132.1976,0.4253,587.8141,0.9102,27.0080%,250
8,3663.6019,59539.1323,242.0338,14.8927,256.9264,0.0823,2987.5657,1.5902,8.1752%,246
9,2173.2798,22525.3810,90.1061,8.6931,98.7992,1.3657,183.0584,1.6700,79.1471%,250
10,1552.5310,16295.6703,65.4491,6.2351,71.6841,1.5922,156.3870,1.7749,66.1833%,249
